Year,species,biomass,scenario
2058,Flatfish,79571.98067,Strict Conservation
2059,Flatfish,79569.68742,Strict Conservation
2060,Flatfish,79743.07789,Strict Conservation
2061,Flatfish,80103.40201,Strict Conservation
2062,Flatfish,80214.90595,Strict Conservation
2063,Flatfish,80283.88166,Strict Conservation
2064,Flatfish,80335.08754,Strict Conservation
2065,Flatfish,80145.19893,Strict Conservation
2066,Flatfish,79928.14025,Strict Conservation
2067,Flatfish,79672.68357,Strict Conservation
2068,Flatfish,79467.79953,Strict Conservation
2015,Long Rough Dab,1994855.631,Strict Conservation
2016,Long Rough Dab,1980156.701,Strict Conservation
2017,Long Rough Dab,1959913.427,Strict Conservation
2018,Long Rough Dab,1939780.631,Strict Conservation
2019,Long Rough Dab,1913090.234,Strict Conservation
2020,Long Rough Dab,1891083.091,Strict Conservation
2021,Long Rough Dab,1877317.361,Strict Conservation
2022,Long Rough Dab,1852695.144,Strict Conservation
2023,Long Rough Dab,1839816.935,Strict Conservation
2024,Long Rough Dab,1824226.491,Strict Conservation
2025,Long Rough Dab,1814891.979,Strict Conservation
2026,Long Rough Dab,1800153.498,Strict Conservation
2027,Long Rough Dab,1786256.372,Strict Conservation
2028,Long Rough Dab,1773731.579,Strict Conservation
2029,Long Rough Dab,1763689.683,Strict Conservation
2030,Long Rough Dab,1749827.231,Strict Conservation
2031,Long Rough Dab,1736498.492,Strict Conservation
2032,Long Rough Dab,1724456.929,Strict Conservation
2033,Long Rough Dab,1712709.609,Strict Conservation
2034,Long Rough Dab,1702816.826,Strict Conservation
2035,Long Rough Dab,1693337.194,Strict Conservation
2036,Long Rough Dab,1684764.903,Strict Conservation
2037,Long Rough Dab,1682779.143,Strict Conservation
2038,Long Rough Dab,1678714.971,Strict Conservation
2039,Long Rough Dab,1673560.51,Strict Conservation
2040,Long Rough Dab,1668837.222,Strict Conservation
2041,Long Rough Dab,1672202.227,Strict Conservation
2042,Long Rough Dab,1670311.509,Strict Conservation
2043,Long Rough Dab,1668617.572,Strict Conservation
2044,Long Rough Dab,1664004.235,Strict Conservation
2045,Long Rough Dab,1666922.381,Strict Conservation
2046,Long Rough Dab,1664528.278,Strict Conservation
2047,Long Rough Dab,1663428.13,Strict Conservation
2048,Long Rough Dab,1667793.936,Strict Conservation
2049,Long Rough Dab,1674354.843,Strict Conservation
2050,Long Rough Dab,1681393.039,Strict Conservation
2051,Long Rough Dab,1682758.92,Strict Conservation
2052,Long Rough Dab,1690454.537,Strict Conservation
2053,Long Rough Dab,1695681.418,Strict Conservation
2054,Long Rough Dab,1702952.176,Strict Conservation
2055,Long Rough Dab,1708807.434,Strict Conservation
2056,Long Rough Dab,1712748.813,Strict Conservation
2057,Long Rough Dab,1717358.239,Strict Conservation
2058,Long Rough Dab,1722835.741,Strict Conservation
2059,Long Rough Dab,1732240.598,Strict Conservation
2060,Long Rough Dab,1738734.493,Strict Conservation
2061,Long Rough Dab,1751353.82,Strict Conservation
2062,Long Rough Dab,1764283.561,Strict Conservation
2063,Long Rough Dab,1762805.122,Strict Conservation
2064,Long Rough Dab,1770980.571,Strict Conservation
2065,Long Rough Dab,1772287.085,Strict Conservation
2066,Long Rough Dab,1769897.233,Strict Conservation
2067,Long Rough Dab,1769178.049,Strict Conservation
2068,Long Rough Dab,1769892.206,Strict Conservation
2015,Mesopelagic Fish,18053739.71,Strict Conservation
2016,Mesopelagic Fish,17854326.18,Strict Conservation
2017,Mesopelagic Fish,17528390.78,Strict Conservation
2018,Mesopelagic Fish,16627222.64,Strict Conservation
2019,Mesopelagic Fish,15688409.97,Strict Conservation
2020,Mesopelagic Fish,13938456.11,Strict Conservation
2021,Mesopelagic Fish,13371005.91,Strict Conservation
2022,Mesopelagic Fish,12513141.08,Strict Conservation
2023,Mesopelagic Fish,11829943.03,Strict Conservation
2024,Mesopelagic Fish,10663397.17,Strict Conservation
2025,Mesopelagic Fish,10075815.04,Strict Conservation
2026,Mesopelagic Fish,9380209.567,Strict Conservation
2027,Mesopelagic Fish,9158816.646,Strict Conservation
2028,Mesopelagic Fish,8538763.212,Strict Conservation
2029,Mesopelagic Fish,8266812.743,Strict Conservation
2030,Mesopelagic Fish,7800907.647,Strict Conservation
2031,Mesopelagic Fish,7714540.286,Strict Conservation
2032,Mesopelagic Fish,7398463.873,Strict Conservation
2033,Mesopelagic Fish,7494915.978,Strict Conservation
2034,Mesopelagic Fish,7013037.191,Strict Conservation
2035,Mesopelagic Fish,6903098.226,Strict Conservation
2036,Mesopelagic Fish,6713994.211,Strict Conservation
2037,Mesopelagic Fish,6807675.731,Strict Conservation
2038,Mesopelagic Fish,6624357.458,Strict Conservation
2039,Mesopelagic Fish,6869821.931,Strict Conservation
2040,Mesopelagic Fish,6706699.768,Strict Conservation
2041,Mesopelagic Fish,6802968.991,Strict Conservation
2042,Mesopelagic Fish,6616533.412,Strict Conservation
2043,Mesopelagic Fish,6725089.516,Strict Conservation
2044,Mesopelagic Fish,6545885.416,Strict Conservation
2045,Mesopelagic Fish,6632725.627,Strict Conservation
2046,Mesopelagic Fish,6498838.539,Strict Conservation
2047,Mesopelagic Fish,6748503.071,Strict Conservation
2048,Mesopelagic Fish,6712970.908,Strict Conservation
2049,Mesopelagic Fish,6887750.059,Strict Conservation
2050,Mesopelagic Fish,6794828.067,Strict Conservation
2051,Mesopelagic Fish,6996357.427,Strict Conservation
2052,Mesopelagic Fish,6819724.544,Strict Conservation
2053,Mesopelagic Fish,7057433.58,Strict Conservation
2054,Mesopelagic Fish,6922312.677,Strict Conservation
2055,Mesopelagic Fish,7115623.69,Strict Conservation
2056,Mesopelagic Fish,7093849.891,Strict Conservation
2057,Mesopelagic Fish,7112511.243,Strict Conservation
2058,Mesopelagic Fish,6969457.417,Strict Conservation
2059,Mesopelagic Fish,7202220.37,Strict Conservation
2060,Mesopelagic Fish,6973933.69,Strict Conservation
2061,Mesopelagic Fish,7197334.726,Strict Conservation
2062,Mesopelagic Fish,7111120.283,Strict Conservation
2063,Mesopelagic Fish,6610312.129,Strict Conservation
2064,Mesopelagic Fish,6040835.061,Strict Conservation
2065,Mesopelagic Fish,6097871.715,Strict Conservation
2066,Mesopelagic Fish,6070423.511,Strict Conservation
2067,Mesopelagic Fish,6351045.95,Strict Conservation
2068,Mesopelagic Fish,6532113.953,Strict Conservation
2015,Greenland Halibut,990237.3517,Strict Conservation
2016,Greenland Halibut,1018325.232,Strict Conservation
2017,Greenland Halibut,1035873.81,Strict Conservation
2018,Greenland Halibut,1052347.345,Strict Conservation
2019,Greenland Halibut,1064611.098,Strict Conservation
2020,Greenland Halibut,1081309.893,Strict Conservation
2021,Greenland Halibut,1095454.104,Strict Conservation
2022,Greenland Halibut,1102382.435,Strict Conservation
2023,Greenland Halibut,1102352.93,Strict Conservation
2024,Greenland Halibut,1099784.345,Strict Conservation
2025,Greenland Halibut,1103215.689,Strict Conservation
2026,Greenland Halibut,1103483.487,Strict Conservation
2027,Greenland Halibut,1099531.834,Strict Conservation
2028,Greenland Halibut,1101825.39,Strict Conservation
2029,Greenland Halibut,1104070.569,Strict Conservation
