sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
51,4,Fulmarus glacialis,Seabirds,Fulmer,1,LC,1,30.7,1
52,4,Larus marinus,Seabirds,Great black backed gull,1,LC,1,12,1
53,4,Larus canus,Seabirds,Mew gull,1,LC,1,9.8,0
54,4,Thalasseus sandvicensis,Seabirds,Sandwich tern,1,LC,1,10.8,0
55,6,Squalus acanthias,Spurdog,Spurdog,1,VU,1,44,1
56,7,Centroselachus crepidater,Large piscivorous sharks,Longnose velvet dogfish ,1,LC,0,16,0
57,7,Prionace glauca,Large piscivorous sharks,Blue shark ,1,NT,1,13.8,1
58,7,Somniosus microcephalus,Large piscivorous sharks,Greenland shark,1,NT,0,16,1
59,7,Isurus oxyrinchus,Large piscivorous sharks,Shortfin mako ,1,VU,1,22.8,0
60,7,Lamna nasus,Large piscivorous sharks,porbeagle,1,VU,1,20.8,1
61,7,Alopias vulpinus,Large piscivorous sharks,Thresher shark,1,VU,1,15,1
62,7,Centroscymnus coelolepis,Large piscivorous sharks,Portugese dogfish ,1,NT,0,16,0
63,7,Hexanchus griseus,Large piscivorous sharks,Bluntnose sixgill shark ,1,NT,1,16,0
64,7,Echinorhinus brucus,Large piscivorous sharks,bramble shark,1,DD,0,16,0
65,7,Galeorhinus galeus,Large piscivorous sharks,Tope shark ,1,VU,1,12.7,1
66,7,Dalatias licha,Large piscivorous sharks,Kitefin shark ,1,NT,1,16,0
67,7,Squatina squatina,Large piscivorous sharks,Angelshark ,1,CR,0,11,0
68,8,Scyliorhinus stellaris,Small sharks,Nursehound ,1,NT,0,14.4,1
69,8,Galeus melastomus,Small sharks,Blackmouth catshark,1,LC,1,14.4,0
70,8,Etmopterus spinax,Small sharks,velvet belly,1,LC,0,14.4,1
71,8,Mustelus mustelus,Small sharks,common smoothhound,1,VU,1,17.8,1
72,8,Scyliorhinus canicula,Small sharks,lesser spotted dogfish,1,LC,1,7.6,1
73,8,Mustelus asterias,Small sharks,Starry smoothhound,1,LC,0,17.8,1
74,8,Scymnodon ringens,Small sharks,Knifetooth dogfish,1,DD,0,14.4,0
75,8,Oxynotus paradoxus,Small sharks,Sailfin roughshark,1,DD,0,14.4,0
76,8,Etmopterus princeps,Small sharks,Great lanternshark ,1,DD,0,14.4,0
77,10,Amblyraja radiata,Starry ray & others,Starry ray,1,VU,1,11.8,1
78,10,Leucoraja fullonica,Starry ray & others,Shagreen ray,1,VU,0,9.7,1
79,10,Tetronarce nobiliana,Starry ray & others,Great torpedo ray ,1,DD,0,10.8,0
80,10,Torpedo marmorata,Starry ray & others,Spotted torpedo,1,DD,1,10.8,0
81,11,Raja montagui,Thornback & spotted ray ,Spotted ray,1,LC,1,6.6,1
82,11,Raja clavata,Thornback & spotted ray ,Thornback ray,1,NT,1,8.2,1
83,12,Dipturus batis,Skate & Cuckoo ray,Common skate,1,CR,0,13.9,1
84,12,Myliobatis aquila,Skate & Cuckoo ray,Common eagle ray ,1,DD,1,11,0
85,12,Pteroplatytrygon violacea,Skate & Cuckoo ray,Pelagic stingray ,1,LC,0,11,0
86,12,Dipturus oxyrinchus,Skate & Cuckoo ray,Longnosed skate,1,NT,0,10,1
87,12,Dipturus nidarosiensis,Skate & Cuckoo ray,Norwegian skate,1,NT,0,10,0
88,12,Leucoraja naevus,Skate & Cuckoo ray,Cuckoo ray,1,LC,1,11.4,1
89,12,Dasyatis pastinaca,Skate & Cuckoo ray,Common stingray,1,DD,0,11,0
