Num,Species,Gen_len
690,Podiceps andinus,7.128205128
691,Podiceps occipitalis,7.128205128
692,Podiceps taczanowskii,7.128205128
693,Podiceps gallardoi,7.128205128
694,Aechmophorus occidentalis,8
695,Aechmophorus clarkii,8
696,Phoenicopterus roseus,16.25
697,Phoenicopterus ruber,15
698,Phoenicopterus chilensis,15.25
699,Phoeniconaias minor,15.5
700,Phoenicoparrus andinus,15.5
701,Phoenicoparrus jamesi,15.5
702,Mycteria americana,8.444444444
703,Mycteria cinerea,8.444444444
704,Mycteria ibis,8.444444444
705,Mycteria leucocephala,8.444444444
706,Anastomus oscitans,12.25
707,Anastomus lamelligerus,12.25
708,Ciconia nigra,15.895
709,Ciconia abdimii,16.11166667
710,Ciconia episcopus,15.895
711,Ciconia stormi,16.11166667
712,Ciconia maguari,16.11166667
713,Ciconia ciconia,16.545
714,Ciconia boyciana,16.11166667
715,Ephippiorhynchus asiaticus,16.11166667
716,Ephippiorhynchus senegalensis,16.11166667
717,Jabiru mycteria,16.11166667
718,Leptoptilos javanicus,16.11166667
719,Leptoptilos crumeniferus,16.11166667
720,Leptoptilos dubius,16.11166667
721,Threskiornis solitarius,10.05
722,Threskiornis aethiopicus,10.05
723,Threskiornis bernieri,10.05
724,Threskiornis melanocephalus,10.05
725,Threskiornis molucca,10.05
726,Threskiornis spinicollis,10.05
727,Pseudibis papillosa,10.05
728,Pseudibis davisoni,10.05
729,Thaumatibis gigantea,10.05
730,Geronticus eremita,10.05
731,Geronticus calvus,10.05
732,Nipponia nippon,10.05
733,Bostrychia hagedash,10.05
734,Bostrychia carunculata,10.05
735,Bostrychia olivacea,10.05
736,Bostrychia bocagei,10.05
737,Bostrychia rara,10.05
738,Theristicus caerulescens,9.55
739,Theristicus caudatus,9.55
740,Theristicus melanopis,9.55
741,Cercibis oxycerca,9.55
742,Mesembrinibis cayennensis,9.55
743,Phimosus infuscatus,9.55
744,Eudocimus albus,9.165
745,Eudocimus ruber,9.165
746,Plegadis falcinellus,6.667427007
747,Plegadis chihi,6.667427007
748,Plegadis ridgwayi,6.667427007
749,Lophotibis cristata,6.275
750,Platalea leucorodia,7.249
751,Platalea regia,7.249
752,Platalea alba,7.249
753,Platalea minor,7.249
754,Platalea flavipes,7.249
755,Platalea ajaja,7.249
756,Zonerodius heliosylus,7.4375
757,Tigriornis leucolopha,7.4375
758,Tigrisoma mexicanum,7.4375
759,Tigrisoma fasciatum,7.4375
760,Tigrisoma lineatum,7.4375
761,Agamia agami,7.4375
762,Cochlearius cochlearius,6.6875
763,Zebrilus undulatus,6.6875
764,Botaurus lentiginosus,5.52
765,Botaurus pinnatus,5.52
766,Botaurus stellaris,5.52
767,Botaurus poiciloptilus,5.52
768,Ixobrychus involucris,4.125
769,Ixobrychus minutus,4.125
770,Ixobrychus sinensis,4.125
771,Ixobrychus novaezelandiae,4.125
772,Ixobrychus exilis,4.125
773,Ixobrychus eurhythmus,4.125
774,Ixobrychus cinnamomeus,4.125
775,Ixobrychus sturmii,4.125
776,Ixobrychus flavicollis,4.125
777,Gorsachius leuconotus,6.6875
778,Gorsachius magnificus,6.6875
779,Gorsachius goisagi,6.6875
780,Gorsachius melanolophus,6.6875
781,Nycticorax duboisi,9.145
782,Nycticorax mauritianus,9.145
783,Nycticorax megacephalus,9.145
784,Nycticorax nycticorax,8.77
785,Nycticorax caledonicus,9.52
786,Nyctanassa violacea,5.125
787,Butorides striata,5.125
788,Butorides virescens,5.125
789,Ardeola ralloides,6.6875
790,Ardeola grayii,6.6875
791,Ardeola bacchus,6.6875
792,Ardeola speciosa,6.6875
793,Ardeola idae,6.6875
794,Ardeola rufiventris,6.6875
