Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC,TsActKWH,TsActSWH,TsActHWH,TsActMWH,TsActFWH,TsActBES,TsActHAS,TsActHOS,TsActRIS,TsActSBA,TsActSBB,TsActSHO,TsActDEO,TsActPEL,TsActPES,TsActREO,TsActDEL,TsActFLA,TsActLRD,TsActSSK,TsActMES,TsActGRH,TsActMAC,TsActHAD,TsActSAI,TsActRED,TsActBWH,TsActSSH,TsActNCO,TsActPCO,TsActCAP,TsActPWN,TsActCEP,TsActKCR,TsActSCR,TsActZG,TsActZL,TsActZM,TsActZS,TsActDF,TsActPS,TsActPL,TsActBC,TsActBD,TsActBFF,TsActSPO,TsActCOR,TsActPB,TsActBB,TsActDR,TsActDL,TsActDC
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15497.76706,0,0,0,0,0,75295.18975,248473.9714,120768.993,385946.2995,78349.62075,1101961.38,117581.0378,1758434.872,0,113537.7401,155454.5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15717.91415,0,0,0,0,0,75146.49526,248029.716,103461.6791,410612.054,80448.35362,1100714.748,115101.6338,1768253.464,0,137934.8901,171349.2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15839.71724,0,0,0,0,0,74904.13331,246613.7727,87570.89039,431928.317,77480.79129,1096436.84,112966.1764,1757625.997,0,142270.6908,185474.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15895.87331,0,0,0,0,0,74336.85405,244610.7017,74403.50436,449669.3364,78488.86947,1093738.989,110505.5334,1747642.698,0,125438.8705,234136.3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15882.42359,0,0,0,0,0,74008.78035,242220.2898,64677.80277,463455.9414,76321.9498,1091109.142,104276.9603,1749533.144,0,144214.0457,227631.7294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15854.60014,0,0,0,0,0,73932.19434,240353.4911,57159.72884,477608.3868,76655.9764,1090612.657,97075.13168,1756765.066,0,146516.9404,259127.9513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15877.51814,0,0,0,0,0,73769.33208,239932.8193,50924.69722,492621.0479,77619.00159,1089562.185,87375.35088,1745369.849,0,127060.9936,246105.0591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15935.53002,0,0,0,0,0,73619.29748,242000.0678,45857.11755,509590.5136,77225.12233,1092190.436,78194.33639,1745209.964,0,140374.8635,280922.0201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16002.33768,0,0,0,0,0,73472.0691,242214.6294,41568.87303,526760.8312,76365.13157,1088325.82,67524.41918,1724593.829,0,151803.5173,310379.9117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16171.17767,0,0,0,0,0,73196.79716,240975.5459,37768.50727,540980.9342,79000.31418,1084513.161,58620.93127,1686017.476,0,141844.6012,362593.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
