Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56609.32943,0,0,0,0,0,12226.68377,0,471545.6971,23014.38897,18740.79205,0,0,551433.758,0,114000.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54869.36698,0,0,0,0,0,12085.79363,0,468741.923,22885.25205,19296.99477,0,0,534431.7668,0,110385.3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55450.47838,0,0,0,0,0,11885.75824,0,469069.8683,22843.53912,20904.56323,0,0,554933.6056,0,88737.85507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57528.78507,0,0,0,0,0,11756.6689,0,471822.6085,22687.09926,21472.52891,0,0,555939.8894,0,50743.44911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59123.16364,0,0,0,0,0,11714.66517,0,475091.8799,22666.4912,21477.91364,0,0,544371.7311,0,115688.2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58629.80812,0,0,0,0,0,11920.5503,0,477384.7981,22699.83268,20029.38884,0,0,578447.8639,0,157511.6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56143.70395,0,0,0,0,0,11986.22837,0,475067.0949,22777.78252,19694.97742,0,0,577628.5043,0,135038.9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54723.56181,0,0,0,0,0,11883.76991,0,473295.8897,22734.1148,21498.76823,0,0,565077.379,0,134038.4893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53517.94571,0,0,0,0,0,11761.52232,0,470702.3206,22702.62593,22270.71321,0,0,580422.1884,0,116565.3803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57996.14651,0,0,0,0,0,11788.72619,0,471633.2557,22746.01672,22241.40871,0,0,609416.4791,0,100049.6268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
