Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55617.12433,0,0,0,0,0,12420.64822,0,472101.4047,23118.09143,18059.00153,0,0,571843.5376,0,77061.75184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55659.80561,0,0,0,0,0,12304.36238,0,470885.7271,22937.86758,18297.74367,0,0,579707.6365,0,121948.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58622.69757,0,0,0,0,0,12284.38371,0,470584.3342,22863.65779,17545.9514,0,0,603269.0588,0,111646.7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59617.13307,0,0,0,0,0,12250.61119,0,471274.6339,22701.3666,18172.54534,0,0,577353.154,0,61122.06954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58897.90521,0,0,0,0,0,12215.95621,0,470553.6751,22691.30841,19111.07212,0,0,567448.1646,0,126614.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58241.90362,0,0,0,0,0,12151.10706,0,469779.3384,22700.30436,20033.29806,0,0,585332.1261,0,196682.3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57177.87062,0,0,0,0,0,12071.70286,0,471417.8822,22622.55715,21195.94566,0,0,595132.7599,0,159854.3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55079.98844,0,0,0,0,0,11974.39349,0,470987.0368,22727.23206,21090.653,0,0,603137.8726,0,107867.1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58336.25243,0,0,0,0,0,11998.97564,0,470904.5612,22771.24556,21482.69719,0,0,606304.9367,0,173122.3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61024.6591,0,0,0,0,0,12058.93213,0,473085.2568,22815.38368,21666.51947,0,0,631188.6408,0,210884.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
