indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
43,Caryophyllia smithii,COR,10300881.55,10411895.75,10459226.8,10477013.84,10665445.8,10838498.28,10863250.7,10891542.29,10986959.08,11060737.37,11160005.37,11547942.85,11657616.96,11713571.59,11809982.98,11931272.76,12463459.39,12897582.06,13067035.19,13151143.29,13174188.03,13303560.44,13940951.01,14096755.66,14394075.21,14544493.74,14745956.62,15401194.28,15911438.2,16239743.19,16421663.22,16486684.15,16696320.8,17472704.4,17642769.19
44,Cerianthus lloydii,BC,7403193.506,7688482.713,7974236.536,8250122.146,8492605.38,8790327.151,9117059.522,9452394.635,9801910.925,10156239.74,10497690.16,10811560.23,11065947.54,11212571.57,11191670.12,10995453.58,10715820.15,10507598.35,10448048,10408460.67,10532316.97,10705660.82,10906639.53,11124772.67,11338491.76,11539545.66,11718563.57,11872579.23,12001912.08,12109962.29,12201621.29,12284252.72,12363634.88,12444618.57,12532267.2
45,Filograna implexa,BC,7403193.506,7688482.713,7974236.536,8250122.146,8492605.38,8790327.151,9117059.522,9452394.635,9801910.925,10156239.74,10497690.16,10811560.23,11065947.54,11212571.57,11191670.12,10995453.58,10715820.15,10507598.35,10448048,10408460.67,10532316.97,10705660.82,10906639.53,11124772.67,11338491.76,11539545.66,11718563.57,11872579.23,12001912.08,12109962.29,12201621.29,12284252.72,12363634.88,12444618.57,12532267.2
46,Geodia spp,SPO,9876259.533,9888012.118,9897507.762,9905840.45,9924734.922,9937814.768,9949603.015,9959589.066,9981804.559,9992647.861,10005633.24,10039702.13,10051244.1,10058297.26,10067794.09,10077425,10118934.64,10135534.09,10154641.67,10163398.02,10168273.05,10182738.01,10223115.99,10238125.59,10251703.81,10258050.65,10277347.38,10324445.69,10344621.36,10359625.61,10374494.03,10383657.39,10396920.32,10445596.48,10464243.71
47,Gorgonocephalus arcticus,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
48,Gorgonocephalus eucnemis,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
49,Gorgonocephalus lamarcki,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
50,Heliometra glacialis,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
51,Lophelia sp,COR,10300881.55,10411895.75,10459226.8,10477013.84,10665445.8,10838498.28,10863250.7,10891542.29,10986959.08,11060737.37,11160005.37,11547942.85,11657616.96,11713571.59,11809982.98,11931272.76,12463459.39,12897582.06,13067035.19,13151143.29,13174188.03,13303560.44,13940951.01,14096755.66,14394075.21,14544493.74,14745956.62,15401194.28,15911438.2,16239743.19,16421663.22,16486684.15,16696320.8,17472704.4,17642769.19
52,Phakellia ventilabrum,COR,10300881.55,10411895.75,10459226.8,10477013.84,10665445.8,10838498.28,10863250.7,10891542.29,10986959.08,11060737.37,11160005.37,11547942.85,11657616.96,11713571.59,11809982.98,11931272.76,12463459.39,12897582.06,13067035.19,13151143.29,13174188.03,13303560.44,13940951.01,14096755.66,14394075.21,14544493.74,14745956.62,15401194.28,15911438.2,16239743.19,16421663.22,16486684.15,16696320.8,17472704.4,17642769.19
53,Poliometra prolixa,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
54,Tentorium semisuberites,COR,10300881.55,10411895.75,10459226.8,10477013.84,10665445.8,10838498.28,10863250.7,10891542.29,10986959.08,11060737.37,11160005.37,11547942.85,11657616.96,11713571.59,11809982.98,11931272.76,12463459.39,12897582.06,13067035.19,13151143.29,13174188.03,13303560.44,13940951.01,14096755.66,14394075.21,14544493.74,14745956.62,15401194.28,15911438.2,16239743.19,16421663.22,16486684.15,16696320.8,17472704.4,17642769.19
55,Umbellula encrinus,BD,29917632.31,34974957.56,41460768.3,50117641.61,61178994.56,73939991.04,87116887.34,103125135.7,130070506.1,173258126,232328065.8,312188837.4,415774615.5,537029865.2,657511235.9,741856459.7,763051533.5,720769099.3,619096505.3,440641312.3,431712052.6,476939943.6,521804674.6,565267059.1,605940679.1,644634590.7,680466861.6,713361458.1,743165565.5,769934953.3,793523508.4,814246488.7,832345893.9,848131990.5,862433383.1
